FLIGHT DISTANCE,,,,,,SHAPE OF DISTRIBUTION ,,,,,,,,,,,,,
821, - ,,MEAN,1190.316392,,CONDITION ,DISTRIBUTION SHAPE,,,,,,,,,,,,
821, - ,,,,,Mean > Median,Right-Skewed (Positively Skewed),,,,,,,,,,,,
853, - ,,MEDIAN,844,,Mean < Median,Left-Skewed (Negatively Skewed),,,,,,,,,,,,
1905,OUTLIER,,,,,Mean ? Median,Normal (Symmetric) Distribution,,,,,,,,,,,,
3470,OUTLIER,,SAMPLE VARIANCE,994911.4445,,,,,,,,,,,,,,,
3788,OUTLIER,,,,,,,,,,,,,,,,,,
1963,OUTLIER,,SAMPLE SD,997.4524773,,,,,,,,,,,,,,,
853, - ,,,,,,,,,,,,,,,,,,
2607,OUTLIER,,STANDARD ERROR,2.767713125,,,,,,,,,,,,,,,
2822,OUTLIER,,,,,,,,,,,,,,,,,,
821, - ,,,,,,,,,,,,,,,,,,
421, - ,,,,,,,,,,,,,,,,,,
453, - ,,,,,,,,,,,,,,,,,,
853, - ,,,,,,,,,,,,,,,,,,
853, - ,,,,,,,,,,,,,,,,,,
821, - ,,,,,,,"The histogram of the Flight Distance column reveals a right-skewed distribution, 
with most passengers having short to medium-range flights. 
The frequency of flights decreases gradually as distance increases. This is further supported by the statistical values, 
where the mean (1190) is greater than the median (844).",,,,,,,,,,,
821, - ,,,Q1 ,414,, - ,,,,,,,,,,,,
821, - ,,,Q3,1744,,,,,,,,,,,,,,
853, - ,,IQR,,1330,,,,,,,,,,,,,,
821, - ,,LOWER BOUND ,,-1581,,,,,,,,,,,,,,
853, - ,,UPPER BOUND,,3739,,,,,,,,,,,,,,
853, - ,,,,,,,,,,,,,,,,,,
821, - ,,,,,,,,,,,,,,,,,,
821, - ,,,,,,,,,,,,,,,,,,
3460,OUTLIER,,,,,,,,,,,,,,,,,,
1676, - ,,,,,,,,,,,,,,,,,,
2168,OUTLIER,,,,,,,,,,,,,,,,,,
2867,OUTLIER,,,,,,,,,,,,,,,,,,
3734,OUTLIER,,,,,,,,,,,,,,,,,,
3088,OUTLIER,,,,,,,,,,,,,,,,,,
212,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
1672, - ,,,,,,,,,,,,,,,,,,
2884,OUTLIER,,,,,,,,,,,,,,,,,,
212,OUTLIER,,,,,,,,,,,,,,,,,,
215,OUTLIER,,,,,,,,,,,,,,,,,,
67,OUTLIER,,,,,,,,,,,,,,,,,,
212,OUTLIER,,,,,,,,,,,,,,,,,,
1554, - ,,,,,,,,,,,,,,,,,,
108,OUTLIER,,,,,,,,,,,,,,,,,,
1584, - ,,,,,,,,,,,,,,,,,,
2077,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
108,OUTLIER,,,,,,,,,,,,,,,,,,
212,OUTLIER,,,,,,,,,,,,,,,,,,
108,OUTLIER,,,,,,,,,,,,,,,,,,
108,OUTLIER,,,,,,,,,,,,,,,,,,
1859,OUTLIER,,,,,,,,,,,,,,,,,,
67,OUTLIER,,,,,,,,,,,,,,,,,,
212,OUTLIER,,,,,,,,,,,,,,,,,,
2853,OUTLIER,,,,,,,,,,,,,,,,,,
3655,OUTLIER,,,,,,,,,,,,,,,,,,
2485,OUTLIER,,,,,,,,,,,,,,,,,,
67,OUTLIER,,,,,,,,,,,,,,,,,,
2199,OUTLIER,,,,,,,,,,,,,,,,,,
3997,OUTLIER,,,,,,,,,,,,,,,,,,
3392,OUTLIER,,,,,,,,,,,,,,,,,,
3391,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
2423,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
108,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
67,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
212,OUTLIER,,,,,,,,,,,,,,,,,,
3213,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
3201,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
212,OUTLIER,,,,,,,,,,,,,,,,,,
108,OUTLIER,,,,,,,,,,,,,,,,,,
108,OUTLIER,,,,,,,,,,,,,,,,,,
67,OUTLIER,,,,,,,,,,,,,,,,,,
173,OUTLIER,,,,,,,,,,,,,,,,,,
